252,キモリ,くさ,
253,ジュプトル,くさ,
254,ジュカイン,くさ,
255,アチャモ,ほのお,
256,ワカシャモ,ほのお,かくとう
257,バシャーモ,ほのお,かくとう
258,ミズゴロウ,みず,
259,ヌマクロー,みず,じめん
260,ラグラージ,みず,じめん
261,ポチエナ,あく,
262,グラエナ,あく,
263,ジグザグマ,ノーマル,
264,マッスグマ,ノーマル,
265,ケムッソ,むし,
266,カラサリス,むし,
267,アゲハント,むし,ひこう
268,マユルド,むし,
269,ドクケイル,むし,どく
270,ハスボー,みず,むし
271,ハスブレロ,みず,むし
272,ルンパッパ,みず,むし
273,タネボー,くさ,
274,コノハナ,くさ,あく
275,ダーテング,くさ,あく
276,スバメ,ノーマル,ひこう
277,オオスバメ,ノーマル,ひこう
278,キャモメ,みず,ひこう
279,ペリッパー,みず,ひこう
280,ラルトス,エスパー,フェアリー
281,キルリア,エスパー,フェアリー
282,サーナイト,エスパー,フェアリー
283,アメタマ,むし,みず
284,アメモース,むし,ひこう
285,キノココ,くさ,
286,キノガッサ,くさ,かくとう
287,ナマケロ,ノーマル,
288,ヤルキモノ,ノーマル,
289,ケッキング,ノーマル,
290,ツチニン,むし,じめん
291,テッカニン,むし,ひこう
292,ヌケニン,むし,ゴースト
293,ゴニョニョ,ノーマル,
294,ドゴーム,ノーマル,
295,バクオング,ノーマル,
296,マクノシタ,かくとう,
297,ハリテヤマ,かくとう,
298,ルリリ,ノーマル,フェアリー
299,ノズパス,いわ,
300,エネコ,ノーマル,
301,エネコロロ,ノーマル,
302,ヤミラミ,あく,ゴースト
303,クチート,はがね,フェアリー
304,ココドラ,はがね,いわ
305,コドラ,はがね,いわ
306,ボスゴドラ,はがね,いわ
307,アサナン,かくとう,エスパー
308,チャーレム,かくとう,エスパー
309,ラクライ,でんき,
310,ライボルト,でんき,
311,プラスル,でんき,
312,マイナン,でんき,
313,バルビート,むし,
314,イルミーゼ,むし,
315,ロゼリア,くさ,どく
316,ゴクリン,どく,
317,マルノーム,どく,
318,キバニア,みず,あく
319,サメハダー,みず,あく
320,ホエルコ,みず,
321,ホエルオー,みず,
322,ドンメル,ほのお,じめん
323,バクーダ,ほのお,じめん
324,コータス,ほのお,
325,バネブー,エスパー,
326,ブーピッグ,エスパー,
327,パッチール,ノーマル,
328,ナックラー,じめん,
329,ビブラーバ,じめん,ドラゴン
330,フライゴン,じめん,ドラゴン
331,サボネア,くさ,
332,ノクタス,くさ,あく
333,チルット,ノーマル,ひこう
334,チルタリス,ドラゴン,ひこう
335,ザングース,ノーマル,
336,ハブネーク,どく,
337,ルナトーン,いわ,エスパー
338,ソルロック,いわ,エスパー
339,ドジョッチ,みず,じめん
340,ナマズン,みず,じめん
341,ヘイガニ,みず,
342,シザリガー,みず,あく
343,ヤジロン,じめん,エスパー
344,ネンドール,じめん,エスパー
345,リリーラ,いわ,くさ
346,ユレイドル,いわ,くさ
347,アノプス,いわ,むし
348,アーマルド,いわ,むし
349,ヒンバス,みず,
350,ミロカロス,みず,
351,ポワルン,ノーマル,
352,カクレオン,ノーマル,
353,カゲボウズ,ゴースト,
354,ジュペッタ,ゴースト,
355,ヨマワル,ゴースト,
356,サマヨール,ゴースト,
357,トロピウス,くさ,ひこう
358,チリーン,エスパー,
359,アブソル,あく,
360,ソーナノ,エスパー,
361,ユキワラシ,こおり,
362,オニゴーリ,こおり,
363,タマザラシ,こおり,みず
364,トドグラー,こおり,みず
365,トドゼルガ,こおり,みず
366,パールル,みず,
367,ハンテール,みず,
368,サクラビス,みず,
369,ジーランス,みず,いわ
370,ラブカス,みず,
371,タツベイ,ドラゴン,
372,コモルー,ドラゴン,
373,ボーマンダ,ドラゴン,ひこう
374,ダンバル,はがね,エスパー
375,メタング,はがね,エスパー
376,メタグロス,はがね,エスパー
377,レジロック,いわ,
378,レジアイス,こおり,
379,レジスチル,はがね,
380,ラティアス,ドラゴン,エスパー
381,ラティオス,ドラゴン,エスパー
382,カイオーガ,みず,
383,グラードン,じめん,
384,レックウザ,ドラゴン,ひこう
385,ジラーチ,はがね,エスパー
386,デオキシス,エスパー,
